         oct        dec      hex
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
          37         31       1F
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
          37         31       1F
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
          12         10        A
           1          1        1
           2          2        2
           3          3        3
           4          4        4
           5          5        5
           6          6        6
           7          7        7
          10          8        8
          11          9        9
